,Emotions,Statement,Path
0,neutral,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-01-01-01-01-01.wav
1,neutral,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-01-01-01-02-01.wav
2,neutral,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-01-01-02-01-01.wav
3,neutral,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-01-01-02-02-01.wav
4,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-02-01-01-01-01.wav
5,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-02-01-01-02-01.wav
6,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-02-01-02-01-01.wav
7,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-02-01-02-02-01.wav
8,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-02-02-01-01-01.wav
9,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-02-02-01-02-01.wav
10,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-02-02-02-01-01.wav
11,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-02-02-02-02-01.wav
12,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-03-01-01-01-01.wav
13,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-03-01-01-02-01.wav
14,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-03-01-02-01-01.wav
15,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-03-01-02-02-01.wav
16,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-03-02-01-01-01.wav
17,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-03-02-01-02-01.wav
18,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-03-02-02-01-01.wav
19,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-03-02-02-02-01.wav
20,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-04-01-01-01-01.wav
21,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-04-01-01-02-01.wav
22,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-04-01-02-01-01.wav
23,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-04-01-02-02-01.wav
24,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-04-02-01-01-01.wav
25,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-04-02-01-02-01.wav
26,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-04-02-02-01-01.wav
27,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-04-02-02-02-01.wav
28,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-05-01-01-01-01.wav
29,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-05-01-01-02-01.wav
30,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-05-01-02-01-01.wav
31,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-05-01-02-02-01.wav
32,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-05-02-01-01-01.wav
33,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-05-02-01-02-01.wav
34,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-05-02-02-01-01.wav
35,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-05-02-02-02-01.wav
36,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-06-01-01-01-01.wav
37,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-06-01-01-02-01.wav
38,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-06-01-02-01-01.wav
39,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-06-01-02-02-01.wav
40,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-06-02-01-01-01.wav
41,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-06-02-01-02-01.wav
42,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-06-02-02-01-01.wav
43,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-06-02-02-02-01.wav
44,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-07-01-01-01-01.wav
45,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-07-01-01-02-01.wav
46,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-07-01-02-01-01.wav
47,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-07-01-02-02-01.wav
48,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-07-02-01-01-01.wav
49,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-07-02-01-02-01.wav
50,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-07-02-02-01-01.wav
51,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-07-02-02-02-01.wav
52,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-08-01-01-01-01.wav
53,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-08-01-01-02-01.wav
54,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-08-01-02-01-01.wav
55,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-08-01-02-02-01.wav
56,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-08-02-01-01-01.wav
57,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-08-02-01-02-01.wav
58,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-08-02-02-01-01.wav
59,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_01/03-01-08-02-02-02-01.wav
60,neutral,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-01-01-01-01-02.wav
61,neutral,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-01-01-01-02-02.wav
62,neutral,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-01-01-02-01-02.wav
63,neutral,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-01-01-02-02-02.wav
64,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-02-01-01-01-02.wav
65,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-02-01-01-02-02.wav
66,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-02-01-02-01-02.wav
